region,site,site_code,shrub_density,lat,long,n_shrub,shrub_ID,shrub_lat,shrub_long,x,y,z,microsite,rep
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,13,34.84865,-119.48393,490,418,124,1,172
Cuyama,1,Cuyama_1,high,34.84879,-119.48412,14,14,34.84877,-119.48405,224,183,108,1,173
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,1,34.84901,-119.48436,457,422,127,2,174
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,2,34.84911,-119.48445,404,358,148,2,175
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,3,34.84915,-119.48448,269,254,144,2,176
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,4,34.84922,-119.48441,320,287,132,2,177
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,5,34.84922,-119.48439,367,296,130,2,178
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,6,34.84929,-119.48425,410,365,144,2,179
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,7,34.84934,-119.4842,480,322,153,2,180
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,8,34.84928,-119.48416,266,233,117,2,181
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,9,34.84921,-119.48411,511,450,158,2,182
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,10,34.84917,-119.48407,356,340,130,2,183
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,11,34.84916,-119.4842,329,318,130,2,184
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,12,34.84911,-119.48419,442,383,148,2,185
Cuyama,1,Cuyama_1,high,34.84917,-119.48436,13,13,34.84904,-119.48426,394,359,154,2,186
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,1,34.85431,-119.48598,339,307,144,1,187
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,2,34.85429,-119.48615,402,253,143,1,188
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,3,34.85437,-119.48611,306,273,162,1,189
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,4,34.85441,-119.48611,304,297,168,1,190
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,5,34.85447,-119.48622,420,320,158,1,191
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,6,34.85453,-119.48618,254,238,122,1,192
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,7,34.85458,-119.48613,357,356,146,1,193
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,8,34.85465,-119.48612,487,418,155,1,194
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,9,34.85471,-119.48601,337,325,160,1,195
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,10,34.8546,-119.48595,357,334,163,1,196
Cuyama,2,Cuyama_2,high,34.85443,-119.48605,11,11,34.85452,-119.48598,435,419,171,1,197
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,1,34.85379,-119.48594,347,335,185,2,198
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,2,34.85368,-119.48573,376,356,169,2,199
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,3,34.85348,-119.48561,330,313,174,2,200
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,4,34.85355,-119.48567,330,295,166,2,201
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,5,34.8535,-119.48595,156,142,86,2,202
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,6,34.85362,-119.48598,235,231,146,2,203
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,7,34.85356,-119.48605,594,538,213,2,204
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,8,34.85366,-119.48608,426,381,209,2,205
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,9,34.85369,-119.48623,317,315,167,2,206
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,10,34.85381,-119.48626,167,131,97,2,207
Cuyama,2,Cuyama_2,high,34.8537,-119.48597,11,11,34.85393,-119.48602,280,264,137,2,208
Cuyama,1,Cuyama_1,open,34.8482,-119.48393,,,,,,,,1,209
Cuyama,1,Cuyama_1,open,34.8482,-119.48393,,,,,,,,1,210
Cuyama,1,Cuyama_1,open,34.84853,-119.48433,,,,,,,,2,211
Cuyama,1,Cuyama_1,open,34.84853,-119.48433,,,,,,,,2,212
Cuyama,2,Cuyama_2,open,34.85491,-119.48505,,,,,,,,1,213
