rep,site,site_code,date,microsite_number,microsite,shrub_ID,shrub_number,total_shrub,microsite_lat,microsite_long,shrub_lat,shrub_long,x,y,z,ground_temp,RH,handheld_temp,camera1_lat,camera1_long,camera2_lat,camera2_long,pendant1_lat,pendant1_long,pendant2_lat,pendant2_long,,
147,Mojave,Tecopa_shrub,04/25/2023,4,Density,120,6,10,35.85267,-116.18457,35.85258,-116.1845,85,64,55,27.61,12.03,45.6,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
148,Mojave,Tecopa_shrub,04/25/2023,4,Density,121,7,10,35.85267,-116.18457,35.85253,-116.18451,60,60,58,27.18,11.97,34,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
149,Mojave,Tecopa_shrub,04/25/2023,4,Density,122,8,10,35.85267,-116.18457,35.85265,-116.18465,103,102,73,26.48,12.5,33.8,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
150,Mojave,Tecopa_shrub,04/25/2023,4,Density,123,9,10,35.85267,-116.18457,35.85263,-116.18472,115,80,77,26.91,12.75,33.9,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
151,Mojave,Tecopa_shrub,04/25/2023,4,Density,124,10,10,35.85267,-116.18457,35.85285,-116.18472,128,105,99,26.81,12.47,26.7,35.85253,-116.18447,35.85283,-116.18468,35.85282,-116.18468,35.85253,-116.18451,,
152,Mojave,Tecopa_open,04/25/2023,1,Open,,,,35.85489,-116.17944,,,,,,29.57,12.48,42.3,35.85498,-116.17963,35.8548,-116.17924,35.85498,-116.17963,35.8548,-116.17924,18219,18023
153,Mojave,Tecopa_open,04/25/2023,1,Open,,,,35.85489,-116.17944,,,,,,28.4,13.2,38.3,35.85498,-116.17963,35.8548,-116.17924,35.85498,-116.17963,35.8548,-116.17924,,
154,Mojave,Tecopa_open,04/25/2023,2,Open,,,,35.8544,-116.17934,,,,,,27.89,13.75,38.3,35.85442,-116.17972,35.85442,-116.17955,35.85442,-116.17972,35.85442,-116.17955,160331,162412
155,Mojave,Tecopa_open,04/25/2023,2,Open,,,,35.8544,-116.17934,,,,,,27.88,13.5,36.2,35.85442,-116.17972,35.85442,-116.17955,35.85442,-116.17972,35.85442,-116.17955,,
156,Mojave,Tecopa_open,04/25/2023,3,Open,,,,35.85479,-116.17885,,,,,,28.12,13.7,42,35.85483,-116.17908,35.85474,-116.17866,35.85483,-116.17908,35.85474,-116.17866,18228,18257
157,Mojave,Tecopa_open,04/25/2023,3,Open,,,,35.85479,-116.17885,,,,,,28.12,13.45,40.8,35.85483,-116.17908,35.85474,-116.17866,35.85483,-116.17908,35.85474,-116.17866,,
158,Mojave,Tecopa_open,04/25/2023,4,Open,,,,35.85521,-116.17858,,,,,,28.28,13.77,35.7,35.85511,-116.17831,35.85527,-116.1787,35.85511,-116.17831,35.85527,-116.1787,,
159,Mojave,Tecopa_open,04/25/2023,4,Open,,,,35.85521,-116.17858,,,,,,28.74,13.73,46.6,35.85511,-116.17831,35.85527,-116.1787,35.85511,-116.17831,35.85527,-116.1787,,
379,Mojave,Tecopa_shrub,05/08/2023,1,Density,94,1,10,35.85266,-116.18361,35.85288,-116.18394,68,63,110,22.89,29.41,27.9,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,17990,18234
380,Mojave,Tecopa_shrub,05/08/2023,1,Density,95,2,10,35.85266,-116.18361,35.85284,-116.18388,200,163,198,22.63,29.9,24.8,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
381,Mojave,Tecopa_shrub,05/08/2023,1,Density,96,3,10,35.85266,-116.18361,35.85284,-116.18385,250,232,237,23.19,29.17,26.3,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
382,Mojave,Tecopa_shrub,05/08/2023,1,Density,97,4,10,35.85266,-116.18361,35.85281,-116.18369,84,80,72,23.28,28.82,25.2,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
383,Mojave,Tecopa_shrub,05/08/2023,1,Density,98,5,10,35.85266,-116.18361,35.8528,-116.18368,65,61,90,23.67,28.47,26,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
384,Mojave,Tecopa_shrub,05/08/2023,1,Density,99,6,10,35.85266,-116.18361,35.85278,-116.18374,77,65,69,23.23,28.62,27.1,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
385,Mojave,Tecopa_shrub,05/08/2023,1,Density,100,7,10,35.85266,-116.18361,35.85269,-116.18375,82,73,79,22.85,29.8,25,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
386,Mojave,Tecopa_shrub,05/08/2023,1,Density,101,8,10,35.85266,-116.18361,35.85268,-116.18375,103,99,85,23.51,29.04,32.8,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
387,Mojave,Tecopa_shrub,05/08/2023,1,Density,102,9,10,35.85266,-116.18361,35.85274,-116.18382,79,59,64,23.34,28.8,25.7,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
388,Mojave,Tecopa_shrub,05/08/2023,1,Density,103,10,10,35.85266,-116.18361,35.85277,-116.18387,95,90,70,23.64,29.04,40.1,35.85266,-116.18361,35.85286,-116.184,35.85288,-116.18394,35.85277,-116.18387,,
389,Mojave,Tecopa_shrub,05/08/2023,2,Density,104,1,11,35.85282,-116.18338,35.8529,-116.18345,332,205,190,23.49,28.47,25.3,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,17431
390,Mojave,Tecopa_shrub,05/08/2023,2,Density,105,2,11,35.85266,-116.18361,35.85289,-116.18333,134,126,167,22.55,29.7,22.5,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
391,Mojave,Tecopa_shrub,05/08/2023,2,Density,106,3,11,35.85266,-116.18361,35.85285,-116.18329,134,127,146,23.72,28.28,23.5,35.85289,-116.18351,35.85275,-116.18314,35.8529,-116.18345,35.85287,-116.18432,,
